Medicine_ID,Medicine_Name,Brand,Generic_Name,Strength,Use_Case,Alternative,Stock,Price,Manufacturer,Dosage,Morning,Afternoon,Night,BeforeFood,AfterFood,SideEffects,Warnings,Expiry,Category
MED001,Paracetamol 500mg,Panadol,Paracetamol,500mg,Fever and mild pain relief,Ibuprofen 400mg,150,2.50,GSK,1 tablet every 6 hours,1,1,1,false,true,Nausea,Do not exceed 4g (8 tablets) per day. Avoid alcohol.,2028-12-31,Analgesics
MED002,Ibuprofen 400mg,Advil,Ibuprofen,400mg,Pain relief, inflammation, and fever,Paracetamol 500mg,0,3.99,Pfizer,1 tablet three times daily,1,1,1,false,true,Stomach upset,Take with food. Avoid if you have stomach ulcers.,2027-08-30,NSAIDs
MED003,Amoxicillin 500mg,Amoxil,Amoxicillin,500mg,Bacterial infections,Azithromycin 500mg,80,12.00,Sandoz,1 capsule three times daily,1,1,1,true,false,Diarrhea or skin rash,Complete the full course. Do not take if allergic to penicillin.,2027-05-15,Antibiotics
MED004,Metformin 500mg,Glucophage,Metformin,500mg,Type 2 Diabetes blood sugar control,Glipizide 5mg,200,8.50,Merck,1 tablet twice daily,1,0,1,false,true,Flatulence or metallic taste,Monitor blood sugar. Do not use in severe kidney disease.,2029-01-20,Antidiabetics
MED005,Atorvastatin 20mg,Lipitor,Atorvastatin,20mg,High cholesterol and cardiovascular protection,Rosuvastatin 10mg,120,15.75,Viatris,1 tablet daily at night,0,0,1,true,true,Muscle aches or headache,Avoid grapefruit juice. Do not take during pregnancy.,2028-06-10,Statins
MED006,Cetirizine 10mg,Zyrtec,Cetirizine,10mg,Allergies, runny nose, and sneezing,Loratadine 10mg,250,5.00,Johnson & Johnson,1 tablet daily,0,0,1,true,true,Drowsiness or dry mouth,Avoid driving or alcohol if drowsiness occurs.,2029-03-15,Antihistamines
MED007,Omeprazole 20mg,Prilosec,Omeprazole,20mg,Acid reflux, GERD, and heartburn,Esomeprazole 20mg,140,9.20,AstraZeneca,1 capsule daily before breakfast,1,0,0,true,false,Headache or mild diarrhea,Take 30-60 minutes before food.,2028-10-05,Antacids
MED008,Albuterol 90mcg Inhaler,Ventolin,Albuterol,90mcg,Asthma, COPD, and breathing difficulty,Levalbuterol,45,25.00,GSK,2 puffs every 4-6 hours as needed,0,0,0,true,true,Tremor or fast heart rate,Seek emergency help if sudden breathing difficulty occurs.,2027-11-20,Bronchodilators
MED009,Amlodipine 5mg,Norvasc,Amlodipine,5mg,Hypertension and chest pain (angina),Losartan 50mg,190,6.50,Pfizer,1 tablet daily,1,0,0,true,true,Swelling of ankles or headache,Monitor blood pressure regularly.,2028-09-18,Antihypertensives
MED010,Lisinopril 10mg,Zestril,Lisinopril,10mg,Hypertension and heart failure,Enalapril 10mg,0,7.00,AstraZeneca,1 tablet daily,1,0,0,true,true,Dry cough or dizziness,Avoid potassium supplements or salt substitutes.,2028-02-28,Antihypertensives
MED011,Azithromycin 500mg,Zithromax,Azithromycin,500mg,Bacterial chest and throat infections,Amoxicillin 500mg,65,18.50,Pfizer,1 tablet daily for 3 days,1,0,0,true,true,Diarrhea or abdominal cramps,Take at least 1 hour before or 2 hours after food.,2027-10-12,Antibiotics
MED012,Rosuvastatin 10mg,Crestor,Rosuvastatin,10mg,High cholesterol control,Atorvastatin 20mg,110,19.20,AstraZeneca,1 tablet daily,0,0,1,true,true,Muscle pain or headache,Report unexplained muscle pain or weakness to doctor.,2028-11-15,Statins
MED013,Loratadine 10mg,Claritin,Loratadine,10mg,Allergies and hay fever,Cetirizine 10mg,300,4.80,Bayer,1 tablet daily,1,0,0,true,true,Headache or sleepiness,Generally non-drowsy but use caution when driving.,2029-05-01,Antihistamines
MED014,Esomeprazole 20mg,Nexium,Esomeprazole,20mg,Gastroesophageal reflux (GERD) and ulcers,Omeprazole 20mg,95,14.50,AstraZeneca,1 tablet daily,1,0,0,true,false,Headache or dry mouth,Take 1 hour before eating in the morning.,2028-04-20,Antacids
MED015,Losartan 50mg,Cozaar,Losartan,50mg,Hypertension and kidney protection,Amlodipine 5mg,125,11.20,Merck,1 tablet daily,1,0,0,true,true,Dizziness or nasal congestion,Do not take during pregnancy. Monitor blood pressure.,2028-07-22,Antihypertensives
